alpha,beta,coherence,topics,perplexity
0.61,0.01,0.5228092798144953,7,-15.44729454671094
0.61,0.31,0.4360397980319256,7,-6.469436524809096
0.61,0.61,0.42987517296714467,7,-6.636814814318348
0.61,0.9099999999999999,0.5237667712224615,7,-6.888357899087818
0.61,symmetric,0.4866276074975717,7,-6.360158684886243
0.9099999999999999,0.01,0.5665372829492326,7,-15.657629959213802
0.9099999999999999,0.31,0.42323405454932556,7,-6.63045101965792
0.9099999999999999,0.61,0.48757358997456457,7,-6.805356137638321
0.9099999999999999,0.9099999999999999,0.43010051064704485,7,-6.785864253436511
0.9099999999999999,symmetric,0.4377779342685112,7,-6.52358358278905
symmetric,0.01,0.5321014774423172,7,-15.565736643875491
symmetric,0.31,0.49993964031508537,7,-6.430892408906614
symmetric,0.61,0.6113158141068542,7,-6.57029729060452
symmetric,0.9099999999999999,0.521177216876716,7,-6.727609656018206
symmetric,symmetric,0.5345805139757713,7,-6.493122072743705
asymmetric,0.01,0.47675864262163276,7,-15.49623723722885
asymmetric,0.31,0.5675911992508658,7,-6.333100202454358
asymmetric,0.61,0.5083568775223226,7,-6.6025393668816275
asymmetric,0.9099999999999999,0.5543860413615409,7,-6.726310067202718
asymmetric,symmetric,0.48693251395729675,7,-6.4683748500055795
0.01,0.01,0.4820732606158971,8,-15.851414574402735
0.01,0.31,0.46289459386661536,8,-6.648366084279717
0.01,0.61,0.4591258713187799,8,-6.719424664384468
0.01,0.9099999999999999,0.48286851756978777,8,-6.819345599576325
0.01,symmetric,0.4824942546148533,8,-6.669147406469041
0.31,0.01,0.48380034221072876,8,-15.503992112371094
0.31,0.31,0.4344442844404102,8,-6.565675979230044
0.31,0.61,0.44314137904533357,8,-6.7288125144338835
0.31,0.9099999999999999,0.4741705278691094,8,-6.808688416715469
0.31,symmetric,0.46814327937503764,8,-6.55663181201178
0.61,0.01,0.5632637820310912,8,-15.463043541077766
0.61,0.31,0.4480127789655717,8,-6.593358970104077
0.61,0.61,0.4496940787543041,8,-6.690610267585245
0.61,0.9099999999999999,0.4967922297837778,8,-6.9281581683548845
0.61,symmetric,0.5454480431590141,8,-6.419533931114931
0.9099999999999999,0.01,0.5623172366226289,8,-15.536214195462195
0.9099999999999999,0.31,0.4384328712023271,8,-6.551139289065541
0.9099999999999999,0.61,0.48741647131538696,8,-6.704446610542858
0.9099999999999999,0.9099999999999999,0.5568775795427496,8,-6.957450520012184
0.9099999999999999,symmetric,0.5391324180246779,8,-6.5015853737363205
symmetric,0.01,0.5261871435674448,8,-15.624062927330213
