alpha,beta,coherence,topics,perplexity
symmetric,0.9099999999999999,0.4756323054753058,8,-6.235046602625867
symmetric,symmetric,0.47279456192106445,8,-6.094507448777394
asymmetric,0.01,0.510175183334487,8,-9.659555628135832
asymmetric,0.31,0.5397267925657816,8,-6.036411530223525
asymmetric,0.61,0.5349233310720947,8,-6.132385329444977
asymmetric,0.9099999999999999,0.5662720803883173,8,-6.227713924491292
asymmetric,symmetric,0.4576338869860004,8,-6.012372982731181
0.01,0.01,0.49101418748760584,9,-9.735508639158398
0.01,0.31,0.5456559491075927,9,-6.000259220566835
0.01,0.61,0.5605021590442422,9,-6.085010275669142
0.01,0.9099999999999999,0.5817982062966601,9,-6.164215076415236
0.01,symmetric,0.5161352367903895,9,-6.090835248883196
0.31,0.01,0.5181004662098485,9,-9.746845999902348
0.31,0.31,0.5376442912199499,9,-6.240791379628086
0.31,0.61,0.5819335979845728,9,-6.0996253854416915
0.31,0.9099999999999999,0.5284616714855719,9,-6.285879123306003
0.31,symmetric,0.6193126437765123,9,-6.1368138436302635
0.61,0.01,0.5638691770046859,9,-9.616555417988948
0.61,0.31,0.5547311852879018,9,-6.023717733179776
0.61,0.61,0.5793760722022632,9,-6.129691167083091
0.61,0.9099999999999999,0.5846806090486498,9,-6.289976337943404
0.61,symmetric,0.5195741877873815,9,-6.003880931957922
0.9099999999999999,0.01,0.5606386520201303,9,-9.639466410640836
0.9099999999999999,0.31,0.5493093903269832,9,-6.0346317597172305
0.9099999999999999,0.61,0.4988832306723075,9,-6.066203230361419
0.9099999999999999,0.9099999999999999,0.5280578318699019,9,-6.183528882708115
0.9099999999999999,symmetric,0.5216581009010993,9,-6.033199820555911
symmetric,0.01,0.4812736948031783,9,-9.657779893492544
symmetric,0.31,0.5625815000806693,9,-6.0931018288405125
symmetric,0.61,0.5900147549163886,9,-6.094511922312922
symmetric,0.9099999999999999,0.5767659829419503,9,-6.140342095733947
symmetric,symmetric,0.5418565489401135,9,-6.0507883742758635
asymmetric,0.01,0.5288828134045157,9,-9.640497686317584
asymmetric,0.31,0.5112737137913816,9,-5.965161869132954
asymmetric,0.61,0.49885916144420306,9,-6.101840868843316
asymmetric,0.9099999999999999,0.5305088373674167,9,-6.185228429362437
asymmetric,symmetric,0.4931487589595657,9,-5.976645822938717
0.01,0.01,0.5352032392180613,10,-9.656676476130217
0.01,0.31,0.5876133620761884,10,-5.9989840744187735
0.01,0.61,0.5537841905358551,10,-6.103310777738758
0.01,0.9099999999999999,0.612119130842127,10,-6.20242212601392
0.01,symmetric,0.49742654482385795,10,-6.1964460509734245
0.31,0.01,0.5092250272235829,10,-9.601100214515494
0.31,0.31,0.5306175991044124,10,-6.017278495256242
